titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Elephant Man;08-avr-81;Drame, Biopic;2h 05min;David Lynch;Anthony Hopkins, John Hurt, Anne Bancroft;américain;"Londres, 1884. Le chirurgien Frederick Treves découvre un homme complètement défiguré et difforme, devenu une attraction de foire. John Merrick, "" le monstre "", doit son nom de Elephant Man au terrible accident que subit sa mère. Alors enceinte de quelques mois, elle est renversée par un éléphant. Impressionné par de telles difformités, le Dr. Treves achète Merrick, l'arrachant ainsi à la violence de son propriétaire, et à l'humiliation quotidienne d'être mis en spectacle. Le chirurgien pense alors que "" le monstre "" est un idiot congénital. Il découvre rapidement en Merrick un homme meurtri, intelligent et doté d'une grande sensibilité.";Carlotta Films;4 prix et 18 nominations;11/12/2001;-;5 000 000 $;54114;4,8;4,3;5 critiques;22772 notes dont 1004 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=180.html
Sixième Sens;05-janv-00;Thriller, Drame;1h 47min;M. Night Shyamalan;Bruce Willis, Haley Joel Osment, Toni Collette;américain;Cole Sear, garconnet de huit ans est hanté par un terrible secret. Son imaginaire est visité par des esprits menaçants. Trop jeune pour comprendre le pourquoi de ces apparitions et traumatisé par ces pouvoirs paranormaux, Cole s'enferme dans une peur maladive et ne veut reveler à personne la cause de son enfermement, à l'exception d'un psychologue pour enfants. La recherche d'une explication rationnelle guidera l'enfant et le thérapeute vers une vérité foudroyante et inexplicable.;Gaumont Buena Vista International (GBVI);12 nominations;28/03/2000;7 754 617 entrées;55 000 000 $;98776;4;4,3;26 critiques;70379 notes dont 1899 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=22092.html
Imitation Game;28-janv-15;Biopic, Drame;1h 55min;Morten Tyldum;Benedict Cumberbatch, Keira Knightley, Matthew Goode;américain;1940 : Alan Turing, mathématicien, cryptologue, est chargé par le gouvernement Britannique de percer le secret de la célèbre machine de cryptage allemande Enigma, réputée inviolable.;StudioCanal;2 prix et 26 nominations;02/06/2015;1 044 007 entrées;15 000 000 $;141321;3,4;4,3;32 critiques;25787 notes dont 1299 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=198371.html
Les Tontons flingueurs;27-nov-63;Comédie, Policier;1h 45min;Georges Lautner;Lino Ventura, Bernard Blier, Francis Blanche;italien;Propriétaire d'une petite usine de tracteurs, Fernand Naudin mène une vie tranquille et sans histoire quand un télégramme l'appelle à Paris. Il arrive à temps pour recueillir le dernier soupir d'un ami de jeunesse, Louis dit « le Mexicain », qui lui confie ses affaires louches en même temps que la garde de sa fille Patricia. Et les ennuis commencent...;Gaumont Distribution;1 prix et 3 nominations;27/10/2005;3 342 393 entrées;-;-;3,8;4,3;5 critiques;18317 notes dont 724 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4327.html
Le Château ambulant;12-janv-05;Animation, Fantastique;1h 59min;Hayao Miyazaki;Chieko Baisho, Takuya Kimura, Akihiro Miwa;japonais;"La jeune Sophie, âgée de 18 ans,  travaille sans relâche dans la boutique de chapelier que tenait son père avant de mourir. Lors de l'une de ses rares sorties en ville, elle fait la connaissance de Hauru le Magicien. Celui-ci est extrêmement séduisant, mais n'a pas beaucoup de caractère... Se méprenant sur leur relation, une sorcière jette un épouvantable sort sur Sophie et la transforme en vieille femme de 90 ans.Accablée, Sophie s'enfuit et erre dans les terres désolées. Par hasard, elle pénètre dans le Château Ambulant de Hauru et, cachant sa véritable identité, s'y fait engager comme femme de ménage. Cette "" vieille dame "" aussi mystérieuse que dynamique va bientôt redonner une nouvelle vie à l'ancienne demeure. Plus énergique que jamais, Sophie accomplit des miracles. Quel fabuleux destin l'attend ? Et si son histoire avec Hauru n'en était qu'à son véritable commencement ?";Buena Vista International;5 nominations;18/01/2006;1 324 682 entrées;¥2,4 bilhões;111 669;4,3;4,3;27 critiques;26003 notes dont 1300 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=50409.html
Mon voisin Totoro;08-déc-99;Animation, Fantastique;1h 27min;Hayao Miyazaki;Chika Sakamoto, Noriko Hidaka, Shigesato Itoi;japonais;Deux petites filles viennent s'installer avec leur père dans une grande maison à la campagne afin de se rapprocher de l'hôpital ou séjourne leur mère. Elles vont découvrir l'existence de créatures merveilleuses, mais très discrètes, les.Leest une créature rare et fascinante, un esprit de la forêt. Il se nourrit de glands et de noix. Il dort le jour, mais les nuits de pleine lune, il aime jouer avec desmagiques. Il peut voler et est invisible aux yeux des humains. Il existe trois:(gros),(moyen) et(petit).;The Walt Disney Company France;2 nominations;26/07/2006;-;-;84752;4,4;4,3;17 critiques;18648 notes dont 703 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=14790.html
Nous trois ou rien;04-nov-15;Comédie dramatique;1h 42min;Kheiron;Kheiron, Leïla Bekhti, Gérard Darmon;français;D’un petit village du sud de l’Iran aux cités parisiennes, Kheiron nous raconte le destin hors du commun de ses parents Hibat et Fereshteh, éternels optimistes, dans une comédie aux airs de conte universel qui évoque l’amour familial, le don de soi et surtout l’idéal d’un vivre-ensemble.;Gaumont Distribution;-;09/03/2016;627 669 entrées;-;139529;3,6;4,3;24 critiques;7136 notes dont 677 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=230045.html
Dallas Buyers Club;29-janv-14;Drame, Biopic;1h 57min;Jean-Marc Vallée;Matthew McConaughey, Jennifer Garner, Jared Leto;américain;1986, Dallas, Texas, une histoire vraie. Ron Woodroof a 35 ans, des bottes, un Stetson, c’est un cow-boy, un vrai. Sa vie : sexe, drogue et rodéo. Tout bascule quand, diagnostiqué séropositif, il lui reste 30 jours à vivre. Révolté par l’impuissance du corps médical, il recourt à des traitements alternatifs non officiels. Au fil du temps, il rassemble d’autres malades en quête de guérison : le Dallas Buyers Club est né. Mais son succès gêne, Ron doit s’engager dans une bataille contre les laboratoires et les autorités fédérales. C’est son combat pour une nouvelle cause… et pour sa propre vie.;UGC Distribution;10 prix et 11 nominations;04/06/2014;372 019 entrées;5 500 000 $;138865;3,9;4,3;29 critiques;16603 notes dont 995 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=137097.html
Taxi Driver;02-juin-76;Drame, Policier;1h 55min;Martin Scorsese;Robert De Niro, Jodie Foster, Harvey Keitel;américain;Vétéran de la Guerre du Vietnam, Travis Bickle est chauffeur de taxi dans la ville de New York. Ses rencontres nocturnes et la violence quotidienne dont il est témoin lui font peu à peu perdre la tête. Il se charge bientôt de délivrer une prostituée mineure de ses souteneurs.;Park Circus France;1 prix et 14 nominations;01/10/1997;2 754 391 entrées;1 300 000 $;45 917;4,8;4,3;8 critiques;28941 notes dont 1372 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=308.html
La Nuit du chasseur;11-mai-56;Thriller, Drame, Epouvante-horreur;1h 32min;Charles Laughton;Robert Mitchum, Shelley Winters, Lillian Gish;américain;Un prêcheur inquiétant poursuit dans l'Amérique rurale deux enfants dont le père vient d'être condamné pour vol et meurtre. Avant son incarcération, le père leur avait confié dix mille dollars, dont ils ne doivent révéler l'existence à personne. Pourchassés sans pitié par ce pasteur psychopathe et abandonnés à eux-mêmes, les enfants se lancent sur les routes.;Les Productions Artistes Associés;2 nominations;25/01/2000;-;795 000 $;16835;5;4,3;7 critiques;7547 notes dont 451 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4963.html
Heat;21-févr-96;Policier, Drame;2h 50min;Michael Mann;Al Pacino, Robert De Niro, Val Kilmer;américain;Neil McCauley est un braqueur qui a de l'expérience. Il veille, au cours de ses vols, à ne pas commettre d'impairs. Ses complices n'ont pas autant de scrupules ni de «conscience professionnelle». Lors d'une opération pourtant bien planifiée, l'un d'entre eux tire sur deux vigiles. Ce double meurtre intéresse au plus au point le lieutenant Hanna, qui ne met guère de temps à identifier McCauley comme étant le cerveau de la bande. Les deux hommes apprennent à se connaître par dossier et surveillance interposée. A tel point qu'il finissent par se rencontrer. Chacun jure alors de mettre l'autre en échec. Un duel s'engage, à la limite de la légalité. Robert De Niro et Al Pacino, deux monstres du cinéma, se livrent à un numéro d'anthologie.;Park Circus France;-;20/01/2005;1 423 689 entrées;US$60.000.000;89431;3,2;4,3;5 critiques;33293 notes dont 1709 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=14046.html
Le Château dans le ciel;01-nov-02;Animation, Aventure, Fantastique, Science fiction;2h 04min;Hayao Miyazaki;Mayumi Tanaka, Jim Cummings, Hiroshi Ito;japonais;Retenue prisonnière par des pirates dans un dirigeable, la jeune Sheeta saute dans le vide en tentant de leur échapper. Elle est sauvée in extremis par Pazu, un jeune pilote d'avion travaillant dans une cité minière. Les pirates leur donnent la chasse.Au terme d'une course-poursuite effrénée, Sheeta se confie à Pazu, lui avouant qu'elle est la descendante des souverains de Laputa, la cité mythique située dans les airs. Elle est par conséquent la seule détentrice du secret de Laputa que le chef des armées, le cruel Muska, cherche à percer.;-;-;01/11/2002;935 143 entrées;-;107071;5;4,3;19 critiques;23545 notes dont 828 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=40133.html
Vice Versa;17-juin-15;Animation, Comédie, Famille;1h 35min;Pete Docter, Ronaldo Del Carmen;Charlotte Le Bon, Pierre Niney, Mélanie Laurent;américain;Au Quartier Général, le centre de contrôle situé dans la tête de la petite Riley, 11 ans, cinq Émotions sont au travail. À leur tête, Joie, débordante d’optimisme et de bonne humeur, veille à ce que Riley soit heureuse. Peur se charge de la sécurité,  Colère s’assure que la justice règne, et Dégoût empêche Riley de se faire empoisonner la vie – au sens propre comme au figuré. Quant à Tristesse, elle n’est pas très sûre de son rôle. Les autres non plus, d’ailleurs… Lorsque la famille de Riley emménage dans une grande ville, avec tout ce que cela peut avoir d’effrayant, les Émotions ont fort à faire pour guider la jeune fille durant cette difficile transition. Mais quand Joie et Tristesse se perdent accidentellement dans les recoins les plus éloignés de l’esprit de Riley, emportant avec elles certains souvenirs essentiels, Peur, Colère et Dégoût sont bien obligés de prendre le relais. Joie et Tristesse vont devoir s’aventurer dans des endroits très inhabituels comme la Mémoire à long terme, le Pays de l’Imagination, la Pensée Abstraite, ou la Production des Rêves, pour tenter de retrouver le chemin du Quartier Général afin que Riley puisse passer ce cap et avancer dans la vie…;The Walt Disney Company France;14 prix et 4 nominations;27/10/2015;4 458 131 entrées;-;142381;4,7;4,3;34 critiques;29499 notes dont 1625 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=196960.html
Danse avec les loups;20-févr-91;Western;3h 54min;Kevin Costner, Kevin Reynolds;Kevin Costner, Mary McDonnell, Rodney A. Grant;américain;"Le jeune lieutenant John Dunbar est envoyé à un poste de reconnaissance dans les immenses plaines du Dakota pendant la guerre de Sécession. Il rencontre au cours de l'une de ses missions de reconnaissance le peuple sioux.Le lieutenant se lie d'amitié avec la population indienne. Il arrive même à intégrer la tribu, au point d'être surnommé ""Danse avec les loups"", et de s'éprendre d'une des leurs, une blanche baptisée ""Dressée avec le poing"".";AMLF;10 prix et 18 nominations;07/04/2004;7 280 823 entrées;19 000 000 $;75233;5;4,3;5 critiques;30983 notes dont 988 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=6480.html
La Ruée vers l'or;09-oct-25;Comédie;1h 12min;Charles Chaplin;Charles Chaplin, Mack Swain, Tom Murray;américain;1898, Nord-Ouest du Canada. Alors que des milliers d’aventuriers arpentent le Klondike en quête du métal précieux, Charlot est surpris par une tempête de neige. Il trouve refuge dans une cabane isolée et fait la rencontre de Big Jim McKay et du terrible Black Larsen…;Théâtre du Temple;3 nominations;01/03/2008;-;923 000 $;70780;5;4,3;5 critiques;6449 notes dont 226 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2260.html
La Vie est belle;10-déc-47;Comédie dramatique, Fantastique, Drame, Comédie;2h 09min;Frank Capra;James Stewart, Donna Reed, Lionel Barrymore;américain;Le décès de son père oblige un homme à reprendre l'entreprise familiale de prêts à la construction, qui permet aux plus déshérités de se loger. Il entre en conflit avec l'homme le plus riche de la ville, qui tente de ruiner ses efforts. Au moment où il approche de la victoire, il égare les 8 000 dollars qu'il devait déposer en banque. Le soir de Noël, désespéré, il songe au suicide. C'est alors que le Ciel dépêche à ses côtés un ange de seconde classe, qui pour gagner ses ailes devra l'aider à sortir de cette mauvaise passe...;Swashbuckler Films;1 prix et 3 nominations;01/10/2003;-;2 800 000 $;5788;5;4,3;6 critiques;8953 notes dont 451 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=5762.html
Le Cercle des poètes disparus;17-janv-90;Comédie dramatique;2h 08min;Peter Weir;Robin Williams, Ethan Hawke, Robert Sean Leonard;américain;Todd Anderson, un garçon plutôt timide, est envoyé dans la prestigieuse académie de Welton, réputée pour être l'une des plus fermées et austères des États-Unis, là où son frère avait connu de brillantes études.C'est dans cette université qu'il va faire la rencontre d'un professeur de lettres anglaises plutôt étrange, Mr Keating, qui les encourage à toujours refuser l'ordre établi. Les cours de Mr Keating vont bouleverser la vie de l'étudiant réservé et de ses amis...;Warner Bros. France;4 prix et 11 nominations;17/01/2006;6 598 785 entrées;16 400 000 $;71155;4;4,3;5 critiques;43191 notes dont 1292 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=5280.html
Harry Potter et les reliques de la mort - partie 2;13-juil-11;Fantastique, Aventure;2h 10min;David Yates;Daniel Radcliffe, Rupert Grint, Emma Watson;britannique;Dans la 2e Partie de cet épisode final, le combat entre les puissances du bien et du mal de l’univers des sorciers se transforme en guerre sans merci. Les enjeux n’ont jamais été si considérables et personne n’est en sécurité. Mais c’est Harry Potter qui peut être appelé pour l’ultime sacrifice alors que se rapproche l’ultime épreuve de force avec Voldemort.;Warner Bros. France;5 prix et 14 nominations;01/10/2013;6 512 424 entrées;125 000 000 $;130257;3,8;4,3;19 critiques;46271 notes dont 4038 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=134925.html
